region_id,age_bracket,financial_fragility_index,debt_to_income_ratio
0,18-24,9.25,0.39
1,18-24,9.47,0.55
2,18-24,8.15,0.38
3,18-24,10.0,0.48
4,18-24,7.8,0.45
5,18-24,7.8,0.35
6,18-24,8.86,0.21
7,18-24,5.91,0.34
8,18-24,6.98,0.43
9,18-24,7.14,0.26
10,18-24,10.0,0.38
11,18-24,8.6,0.26
12,18-24,7.68,0.41
13,18-24,6.77,0.44
14,18-24,7.6,0.37
15,18-24,7.6,0.59
16,18-24,8.48,0.29
17,18-24,9.73,0.28
18,18-24,8.81,0.2
19,18-24,6.51,0.42
20,18-24,9.61,0.42
21,18-24,8.33,0.37
22,18-24,6.28,0.33
23,18-24,7.81,0.51
24,18-24,9.02,0.22
25,18-24,8.99,0.36
26,18-24,7.48,0.46
27,18-24,10.0,0.49
28,18-24,7.24,0.37
29,18-24,9.0,0.5
30,18-24,7.78,0.38
31,18-24,6.84,0.28
32,18-24,9.72,0.54
33,18-24,8.39,0.5
34,18-24,9.04,0.34
35,18-24,9.04,0.55
36,18-24,8.45,0.56
37,18-24,4.57,0.48
38,18-24,8.63,0.37
39,18-24,8.64,0.2
40,18-24,8.17,0.44
41,18-24,10.0,0.35
42,18-24,7.29,0.35
43,18-24,9.87,0.43
44,18-24,7.71,0.45
45,18-24,8.65,0.5
46,18-24,7.45,0.37
47,18-24,7.91,0.25
48,18-24,8.94,0.43
49,18-24,8.51,0.38
50,18-24,6.38,0.36
51,18-24,7.99,0.32
52,18-24,8.26,0.44
53,18-24,10.0,0.42
54,18-24,8.89,0.39
55,18-24,5.62,0.4
56,18-24,8.59,0.65
57,18-24,8.21,0.43
58,18-24,8.45,0.28
59,18-24,10.0,0.48
60,18-24,9.69,0.31
61,18-24,10.0,0.26
62,18-24,9.38,0.62
63,18-24,7.01,0.34
64,18-24,8.65,0.35
65,18-24,6.17,0.41
66,18-24,6.91,0.45
67,18-24,7.12,0.55
68,18-24,7.33,0.37
69,18-24,9.72,0.28
70,18-24,8.84,0.53
71,18-24,6.09,0.42
72,18-24,8.89,0.48
73,18-24,6.64,0.27
74,18-24,9.28,0.43
75,18-24,8.88,0.43
76,18-24,7.48,0.42
77,18-24,8.94,0.33
78,18-24,10.0,0.45
79,18-24,6.71,0.47
80,18-24,7.04,0.48
81,18-24,10.0,0.32
82,18-24,9.95,0.44
83,18-24,9.73,0.59
84,18-24,8.13,0.32
85,18-24,7.17,0.32
86,18-24,8.38,0.43
87,18-24,8.92,0.48
88,18-24,8.52,0.55
89,18-24,8.1,0.67
90,18-24,9.44,0.31
91,18-24,6.89,0.45
92,18-24,8.16,0.47
93,18-24,9.21,0.39
94,18-24,7.23,0.25
95,18-24,7.83,0.49
96,18-24,8.82,0.28
97,18-24,8.76,0.44
98,18-24,7.17,0.42
99,18-24,8.59,0.29
0,25-34,7.74,0.41
1,25-34,8.82,0.46
2,25-34,5.13,0.26
3,25-34,7.97,0.4
4,25-34,7.97,0.74
5,25-34,8.06,0.46
6,25-34,8.63,0.42
7,25-34,6.73,0.43
8,25-34,6.04,0.33
9,25-34,6.47,0.36
10,25-34,10.0,0.16
11,25-34,8.23,0.19
12,25-34,6.49,0.46
13,25-34,7.3,0.24
14,25-34,6.13,0.42
15,25-34,6.1,0.37
16,25-34,7.27,0.28
17,25-34,10.0,0.41
18,25-34,4.16,0.37
19,25-34,6.21,0.44
20,25-34,6.01,0.34
21,25-34,7.96,0.44
22,25-34,5.4,0.32
23,25-34,6.49,0.28
24,25-34,9.85,0.39
25,25-34,5.31,0.44
26,25-34,10.0,0.45
27,25-34,4.92,0.3
28,25-34,9.1,0.28
29,25-34,7.87,0.43
30,25-34,5.81,0.34
31,25-34,2.34,0.25
32,25-34,6.82,0.23
33,25-34,9.65,0.21
34,25-34,6.54,0.36
35,25-34,9.36,0.21
36,25-34,8.94,0.35
37,25-34,5.73,0.4
38,25-34,7.5,0.29
39,25-34,7.3,0.31
40,25-34,7.37,0.42
41,25-34,9.58,0.23
42,25-34,10.0,0.15
43,25-34,6.97,0.41
44,25-34,7.62,0.29
45,25-34,6.89,0.3
46,25-34,6.32,0.43
47,25-34,7.74,0.28
48,25-34,8.55,0.38
49,25-34,8.42,0.41
