weight,B2,BNPL1,EF1,EF3_f,EF7,B0_a,B0_b,B0_c,ppagecat,ppgender,ppinc7,educ_4cat,BNPL1_bin,B0_a_r,B0_b_r,B0_c_r,B2_r,EF1_r,EF3_f_r,EF7_r,VULN_PCA1
0.6149,Doing okay,No,Yes,No,"$2,000 or more",Not at all,Not at all,Somewhat,75+,Female,"$25,000 to $49,999",Bachelor's degree or more,0,4,0,2,1,0,0,0,-0.891919066566937
0.8301,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,75+,Female,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,0,0,0,0,0,-1.4423173690457922
0.4447,Doing okay,No,No,No,"$1,000 to $1,999",Somewhat,Somewhat,Very well,55-64,Male,"$50,000 to $74,999",Bachelor's degree or more,0,2,2,3,1,1,0,1,0.4204644090338145
0.8333,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Female,"$75,000 to $99,999",High school degree or GED,0,4,0,0,0,0,0,0,-1.4423173690457922
0.9064,Doing okay,No,No,No,Under $100,Not at all,Very little,Very little,55-64,Female,"$50,000 to $74,999",Some college/technical or associates degree,0,4,1,1,1,1,0,4,-0.004959246233878448
1.247,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Somewhat,Completely,55-64,Female,"$150,000 or more",Bachelor's degree or more,0,3,2,4,0,0,0,0,-0.32396107519078493
0.8743,Just getting by,No,No,No,$100 to $499,Somewhat,Completely,Completely,65-74,Female,"$50,000 to $74,999",High school degree or GED,0,2,4,4,2,1,0,3,1.3882164199849478
1.4015,Doing okay,Yes,Yes,No,"$1,000 to $1,999",Somewhat,Somewhat,Somewhat,55-64,Male,"$150,000 or more",Some college/technical or associates degree,1,2,2,2,1,0,0,1,-0.10760076291570236
0.9624,Doing okay,No,Yes,No,$500 to $999,Somewhat,Somewhat,Somewhat,75+,Male,"$50,000 to $74,999",High school degree or GED,0,2,2,2,1,0,0,2,0.021489059782358724
0.5285,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,45-54,Male,"$75,000 to $99,999",Bachelor's degree or more,0,3,1,1,0,0,0,0,-0.9566686792713515
0.5535,Doing okay,No,Yes,No,$100 to $499,Not at all,Very little,Somewhat,75+,Female,"$10,000 to $24,999",Bachelor's degree or more,0,4,1,2,1,0,0,3,-0.3460453422857487
0.5601,Living comfortably,No,Yes,No,"$2,000 or more",Very little,Very little,Very little,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,1,1,0,0,0,0,-0.9566686792713515
0.6871,Finding it difficult to get by,No,No,No,$100 to $499,Somewhat,Very well,Completely,75+,Female,"$50,000 to $74,999",High school degree or GED,0,2,3,4,3,1,0,3,1.4639415676810903
0.5461,Just getting by,No,Yes,No,"$1,000 to $1,999",Completely,Completely,Completely,75+,Male,"$100,000 to $149,999",Bachelor's degree or more,0,0,4,4,2,0,0,1,1.0980260205163264
0.8006,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,65-74,Female,"$150,000 or more",High school degree or GED,0,3,1,2,1,0,0,0,-0.5643048260903503
0.7197,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Very little,75+,Male,"$150,000 or more",Bachelor's degree or more,0,4,0,1,0,0,0,0,-1.2842829197479382
1.042,Doing okay,No,Yes,No,"$1,000 to $1,999",Very little,Somewhat,Somewhat,55-64,Male,"$150,000 or more",High school degree or GED,0,3,2,2,1,0,0,1,-0.27661074720528417
0.7856,Doing okay,No,Yes,No,"$2,000 or more",Somewhat,Somewhat,Very well,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,2,2,3,1,0,0,0,-0.0786561363159096
0.5007,Doing okay,No,Yes,No,"$2,000 or more",Very little,Somewhat,Somewhat,65-74,Male,"$100,000 to $149,999",Bachelor's degree or more,0,3,2,2,1,0,0,0,-0.4057005699033453
0.5813,Finding it difficult to get by,No,No,No,$100 to $499,Very well,Completely,Completely,65-74,Male,"$25,000 to $49,999",Bachelor's degree or more,0,1,4,4,3,1,0,3,1.7915558081576772
0.743,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
1.2567,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,55-64,Female,"$150,000 or more",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
0.4447,Living comfortably,No,Yes,No,"$1,000 to $1,999",Not at all,Very little,Very little,75+,Male,"$50,000 to $74,999",Bachelor's degree or more,0,4,1,1,0,0,0,1,-0.996588840862872
1.0324,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Not at all,65-74,Male,"$150,000 or more",Some college/technical or associates degree,0,4,0,0,0,0,0,0,-1.4423173690457922
0.8638,Doing okay,No,Yes,No,"$2,000 or more",Very little,Very little,Somewhat,45-54,Male,"$100,000 to $149,999",Some college/technical or associates degree,0,3,1,2,1,0,0,0,-0.5643048260903503
0.7194,Doing okay,No,Yes,No,"$1,000 to $1,999",Not at all,Somewhat,Very little,75+,Female,"$50,000 to $74,999",Bachelor's degree or more,0,4,2,1,1,0,0,1,-0.6036551807927197
1.3756,Doing okay,No,No,No,$100 to $499,Somewhat,Somewhat,Somewhat,55-64,Female,"$150,000 or more",High school degree or GED,0,2,2,2,1,1,0,3,0.5206096051320828
0.5107,Living comfortably,No,Yes,No,"$2,000 or more",Not at all,Not at all,Somewhat,75+,Male,"$100,000 to $149,999",Bachelor's degree or more,0,4,0,2,0,0,0,0,-1.1262484704500844
0.8361,Living comfortably,No,Yes,No,"$1,000 to $1,999",Very little,Very little,Completely,55-64,Male,"$150,000 or more",Bachelor's degree or more,0,3,1,4,0,0,0,1,-0.3534755086797289
1.0108,Living comfortably,No,No,No,"$2,000 or more",Somewhat,Very little,Somewhat,75+,Male,"$50,000 to $74,999",High school degree or GED,0,2,1,2,0,1,0,0,-0.2595935230322528
