provider,page_type,url,html_tag,text,scraped_at
Klarna,homepage,https://www.klarna.com/us/,h2,Use Klarna anywhere you shop,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,h2,No fees if you pay on time,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,h2,Security and buyer protection,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,h2,Pay with Klarna at your favorite brands,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,h3,The flexible way to pay at Walmart,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Warning! You may receive a scam email, SMS, phone call or job offer pretending to be from Klarna. Remember, Klarna will never contact you and request your personal information, login details, passwords, bank or card details, or account verification through unfamiliar links. Phishing attempts can be reported here .",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Shop securely and choose to pay in 4 interest-free payments, in full, in 30 days, or over time.¹",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Find the pink Klarna badge at your favorite brands when you shop online.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Stay on top of your spending, shop anywhere with Klarna and earn cashback.²",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Pay over time on Apple Pay when shopping online or in-store.³,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Shop anywhere Visa is accepted and choose how you pay.⁴,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Enjoy secure shopping, lightning-fast checkout, and flexible payment options that suit your budget.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Pay over time with Klarna's flexible payment options, giving you more control over your budget.⁵",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Shop with confidence knowing there are no surprise fees or charges when you use Klarna.⁶,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Enjoy a quick, seamless checkout process that makes shopping faster and easier.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Shop safely with Klarna's robust security features and buyer protection, ensuring peace of mind with every transaction.⁷",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"Earn cashback, shop all of your favorite stores and stay on top of your spending.",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Choose OnePay Later to split your Walmart purchase into smaller payments. A new payment option powered by Klarna.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,119m people love to shop and pay with Klarna anywhere.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"""Love the convenience and auto payments to repay back quickly.""",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"""Super convenient and easy!! Haven’t had any issues getting approved, set-up or making payments. Would recommend """,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"“I'm very satisfied using Klarna, it makes it easy for me to purchase things from my favorite retail places like Macy's or Temu and Shein! I always use them to make any purchases I need to happy and satisfied customer!👏“",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Maria - 25th of February 2025,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,“Klarna is a awesome app. Very convenient and easy to use. Their payment plans are excellent and help make the purchases you want without the pressure of paying in full or added interest.“,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Katy - 13th of February 2025,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,"""Very good company, it helps me a lot with my purchases with easy payment options.""",2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Customer reviews reflect their personal experience and opinion.,2026-05-20T20:11:37.631472
Klarna,homepage,https://www.klarna.com/us/,p,Showing our 5-star reviews.,2026-05-20T20:11:37.631472
